Country,Coffee type,Total_domestic_consumption,Year,Consumption
Country 41,Robusta,8640000,1991-92,201600.0
Country 42,Arabica/Robusta,3189660000,1991-92,80640000.0
Country 43,Arabica,0,1991-92,0.0
Country 44,Arabica,299700300,1991-92,9273600.0
Country 45,Robusta,70740000,1991-92,2402400.0
Country 46,Arabica,122916960,1991-92,4502400.0
Country 47,Robusta,10080000,1991-92,604800.0
Country 48,Robusta/Arabica,58300020,1991-92,4502400.0
Country 49,Robusta/Arabica,1248600000,1991-92,14784000.0
Country 50,Robusta,2167620,1991-92,67200.0
Country 51,Robusta,21090000,1991-92,772800.0
Country 52,Robusta/Arabica,284816400,1991-92,5040000.0
Country 53,Arabica,2386067999,1991-92,54800256.0
Country 54,Robusta/Arabica,1920928320,1991-92,15456000.0
Country 55,Arabica,121620000,1991-92,0.0
Country 1,Robusta/Arabica,46500000,1992-93,2352000.0
Country 2,Arabica,75180000,1992-93,1848000.0
Country 3,Arabica/Robusta,27824700000,1992-93,598080000.0
Country 4,Arabica/Robusta,3412020,1992-93,114240.0
Country 5,Arabica/Robusta,381540000,1992-93,23520000.0
Country 6,Robusta/Arabica,4920480000,1992-93,88636800.0
Country 7,Robusta,588705960,1992-93,23520000.0
Country 8,Arabica,2340000,1992-93,134400.0
Country 9,Arabica/Robusta,3608400,1992-93,201600.0
Country 10,Arabica,35100000,1992-93,1008000.0
Country 11,Arabica,402000000,1992-93,13440000.0
Country 12,Arabica,2139960,1992-93,67200.0
Country 13,Arabica,294000,1992-93,0.0
Country 14,Arabica,8595960,1992-93,537600.0
Country 15,Robusta,5360040,1992-93,179222.4
Country 16,Arabica,384006000,1992-93,13104000.0
Country 17,Arabica/Robusta,642823380,1992-93,21504000.0
Country 18,Arabica,600600000,1992-93,22176000.0
Country 19,Robusta/Arabica,2807280000,1992-93,50400000.0
Country 20,Arabica/Robusta,76425060,1992-93,1290240.0
Country 21,Arabica,991920,1992-93,96230.4
Country 22,Robusta/Arabica,143450940,1992-93,5599977.6
Country 23,Robusta,24794400,1992-93,1881600.0
Country 24,Arabica,2536776384,1992-93,87561600.0
Country 25,Arabica,665335200,1992-93,25200000.0
Country 26,Robusta,410260140,1992-93,3360000.0
Country 27,Robusta/Arabica,359880000,1992-93,13440000.0
Country 28,Arabica,417242040,1992-93,15456000.0
Country 29,Robusta,0,1992-93,0.0
Country 30,Arabica,4536540000,1992-93,89443200.0
Country 31,Robusta,1123140,1992-93,53760.0
Country 32,Robusta,9970800,1992-93,1142400.0
Country 33,Arabica/Robusta,590880000,1992-93,20160000.0
Country 34,Robusta,86730000,1992-93,4200000.0
Country 35,Robusta,9203040,1992-93,0.0
Country 36,Arabica,471850680,1992-93,16128000.0
Country 37,Robusta/Arabica,2093460000,1992-93,61622400.0
Country 38,Arabica,18688020,1992-93,403200.0
Country 39,Arabica,95190000,1992-93,3360000.0
Country 40,Robusta,157980000,1992-93,0.0
Country 41,Robusta,8640000,1992-93,201600.0
Country 42,Arabica/Robusta,3189660000,1992-93,87360000.0
Country 43,Arabica,0,1992-93,0.0
Country 44,Arabica,299700300,1992-93,4408320.0
Country 45,Robusta,70740000,1992-93,2402400.0
Country 46,Arabica,122916960,1992-93,4502400.0
Country 47,Robusta,10080000,1992-93,604800.0
Country 48,Robusta/Arabica,58300020,1992-93,1881600.0
Country 49,Robusta/Arabica,1248600000,1992-93,15657600.0
Country 50,Robusta,2167620,1992-93,67200.0
Country 51,Robusta,21090000,1992-93,672000.0
Country 52,Robusta/Arabica,284816400,1992-93,5040000.0
Country 53,Arabica,2386067999,1992-93,57117984.0
Country 54,Robusta/Arabica,1920928320,1992-93,16800000.0
Country 55,Arabica,121620000,1992-93,0.0
Country 1,Robusta/Arabica,46500000,1993-94,1344000.0
Country 2,Arabica,75180000,1993-94,1915200.0
Country 3,Arabica/Robusta,27824700000,1993-94,611520000.0
Country 4,Arabica/Robusta,3412020,1993-94,128352.0
Country 5,Arabica/Robusta,381540000,1993-94,23520000.0
Country 6,Robusta/Arabica,4920480000,1993-94,91324800.0
Country 7,Robusta,588705960,1993-94,24192000.0
Country 8,Arabica,2340000,1993-94,134400.0
Country 9,Arabica/Robusta,3608400,1993-94,134400.0
Country 10,Arabica,35100000,1993-94,1344000.0
Country 11,Arabica,402000000,1993-94,13440000.0
Country 12,Arabica,2139960,1993-94,67200.0
Country 13,Arabica,294000,1993-94,0.0
Country 14,Arabica,8595960,1993-94,559977.6
Country 15,Robusta,5360040,1993-94,201600.0
Country 16,Arabica,384006000,1993-94,13043520.0
Country 17,Arabica/Robusta,642823380,1993-94,21504000.0
Country 18,Arabica,600600000,1993-94,22176000.0
Country 19,Robusta/Arabica,2807280000,1993-94,51744000.0
Country 20,Arabica/Robusta,76425060,1993-94,1176000.0
Country 21,Arabica,991920,1993-94,67200.0
Country 22,Robusta/Arabica,143450940,1993-94,6720000.0
Country 23,Robusta,24794400,1993-94,1680000.0
Country 24,Arabica,2536776384,1993-94,89980800.0
Country 25,Arabica,665335200,1993-94,25200000.0
Country 26,Robusta,410260140,1993-94,3360000.0
Country 27,Robusta/Arabica,359880000,1993-94,13440000.0
Country 28,Arabica,417242040,1993-94,15456000.0
Country 29,Robusta,0,1993-94,0.0
Country 30,Arabica,4536540000,1993-94,94214400.0
Country 31,Robusta,1123140,1993-94,53760.0
Country 32,Robusta,9970800,1993-94,1142400.0
Country 33,Arabica/Robusta,590880000,1993-94,20832000.0
Country 34,Robusta,86730000,1993-94,2217600.0
Country 35,Robusta,9203040,1993-94,0.0
Country 36,Arabica,471850680,1993-94,15456000.0
Country 37,Robusta/Arabica,2093460000,1993-94,55999977.6
Country 38,Arabica,18688020,1993-94,645120.0
Country 39,Arabica,95190000,1993-94,3360000.0
Country 40,Robusta,157980000,1993-94,0.0
Country 41,Robusta,8640000,1993-94,336000.0
Country 42,Arabica/Robusta,3189660000,1993-94,71904000.0
Country 43,Arabica,0,1993-94,0.0
Country 44,Arabica,299700300,1993-94,7318080.0
Country 45,Robusta,70740000,1993-94,2688000.0
Country 46,Arabica,122916960,1993-94,4502400.0
Country 47,Robusta,10080000,1993-94,336000.0
Country 48,Robusta/Arabica,58300020,1993-94,1344000.0
Country 49,Robusta/Arabica,1248600000,1993-94,16800000.0
Country 50,Robusta,2167620,1993-94,67200.0
Country 51,Robusta,21090000,1993-94,672000.0
Country 52,Robusta/Arabica,284816400,1993-94,5040000.0
Country 53,Arabica,2386067999,1993-94,59534496.0
Country 54,Robusta/Arabica,1920928320,1993-94,17942400.0
Country 55,Arabica,121620000,1993-94,0.0
Country 1,Robusta/Arabica,46500000,1994-95,1680000.0
Country 2,Arabica,75180000,1994-95,1982400.0
Country 3,Arabica/Robusta,27824700000,1994-95,624960000.0
Country 4,Arabica/Robusta,3412020,1994-95,134400.0
Country 5,Arabica/Robusta,381540000,1994-95,23520000.0
Country 6,Robusta/Arabica,4920480000,1994-95,94080000.0
Country 7,Robusta,588705960,1994-95,11199955.2
Country 8,Arabica,2340000,1994-95,134400.0
Country 9,Arabica/Robusta,3608400,1994-95,134400.0
Country 10,Arabica,35100000,1994-95,1344000.0
Country 11,Arabica,402000000,1994-95,13440000.0
Country 12,Arabica,2139960,1994-95,67200.0
Country 13,Arabica,294000,1994-95,0.0
Country 14,Arabica,8595960,1994-95,559977.6
Country 15,Robusta,5360040,1994-95,201600.0
Country 16,Arabica,384006000,1994-95,13036800.0
Country 17,Arabica/Robusta,642823380,1994-95,22176000.0
Country 18,Arabica,600600000,1994-95,22176000.0
Country 19,Robusta/Arabica,2807280000,1994-95,53088000.0
Country 20,Arabica/Robusta,76425060,1994-95,1176000.0
Country 21,Arabica,991920,1994-95,100800.0
Country 22,Robusta/Arabica,143450940,1994-95,6720000.0
Country 23,Robusta,24794400,1994-95,1008000.0
Country 24,Arabica,2536776384,1994-95,92400000.0
Country 25,Arabica,665335200,1994-95,25200000.0
Country 26,Robusta,410260140,1994-95,3360000.0
Country 27,Robusta/Arabica,359880000,1994-95,13440000.0
Country 28,Arabica,417242040,1994-95,15456000.0
Country 29,Robusta,0,1994-95,0.0
Country 30,Arabica,4536540000,1994-95,99187200.0
Country 31,Robusta,1123140,1994-95,67200.0
Country 32,Robusta,9970800,1994-95,1881600.0
Country 33,Arabica/Robusta,590880000,1994-95,20832000.0
Country 34,Robusta,86730000,1994-95,3360000.0
Country 35,Robusta,9203040,1994-95,0.0
Country 36,Arabica,471850680,1994-95,17001600.0
Country 37,Robusta/Arabica,2093460000,1994-95,56112000.0
Country 38,Arabica,18688020,1994-95,1008000.0
Country 39,Arabica,95190000,1994-95,3360000.0
Country 40,Robusta,157980000,1994-95,0.0
Country 41,Robusta,8640000,1994-95,336000.0
Country 42,Arabica/Robusta,3189660000,1994-95,68544000.0
Country 43,Arabica,0,1994-95,0.0
Country 44,Arabica,299700300,1994-95,6021120.0
Country 45,Robusta,70740000,1994-95,2688000.0
Country 46,Arabica,122916960,1994-95,5152022.4
Country 47,Robusta,10080000,1994-95,336000.0
Country 48,Robusta/Arabica,58300020,1994-95,1344000.0
Country 49,Robusta/Arabica,1248600000,1994-95,19017600.0
Country 50,Robusta,2167620,1994-95,67200.0
Country 51,Robusta,21090000,1994-95,940800.0
Country 52,Robusta/Arabica,284816400,1994-95,5376000.0
Country 53,Arabica,2386067999,1994-95,62052480.0
Country 54,Robusta/Arabica,1920928320,1994-95,17942400.0
Country 55,Arabica,121620000,1994-95,0.0
Country 1,Robusta/Arabica,46500000,1995-96,672000.0
Country 2,Arabica,75180000,1995-96,2049600.0
Country 3,Arabica/Robusta,27824700000,1995-96,678720000.0
Country 4,Arabica/Robusta,3412020,1995-96,134400.0
Country 5,Arabica/Robusta,381540000,1995-96,23520000.0
Country 6,Robusta/Arabica,4920480000,1995-96,96969600.0
Country 7,Robusta,588705960,1995-96,11222400.0
Country 8,Arabica,2340000,1995-96,134400.0
Country 9,Arabica/Robusta,3608400,1995-96,134400.0
Country 10,Arabica,35100000,1995-96,1344000.0
Country 11,Arabica,402000000,1995-96,13440000.0
Country 12,Arabica,2139960,1995-96,67200.0
Country 13,Arabica,294000,1995-96,0.0
Country 14,Arabica,8595960,1995-96,443520.0
Country 15,Robusta,5360040,1995-96,201600.0
Country 16,Arabica,384006000,1995-96,13036800.0
Country 17,Arabica/Robusta,642823380,1995-96,23520000.0
Country 18,Arabica,600600000,1995-96,22176000.0
Country 19,Robusta/Arabica,2807280000,1995-96,54432000.0
Country 20,Arabica/Robusta,76425060,1995-96,913920.0
Country 21,Arabica,991920,1995-96,40320.0
Country 22,Robusta/Arabica,143450940,1995-96,6720000.0
Country 23,Robusta,24794400,1995-96,672000.0
Country 24,Arabica,2536776384,1995-96,91324800.0
Country 25,Arabica,665335200,1995-96,25200000.0
Country 26,Robusta,410260140,1995-96,3360000.0
Country 27,Robusta/Arabica,359880000,1995-96,13440000.0
Country 28,Arabica,417242040,1995-96,18144000.0
Country 29,Robusta,0,1995-96,0.0
Country 30,Arabica,4536540000,1995-96,104496000.0
Country 31,Robusta,1123140,1995-96,53760.0
Country 32,Robusta,9970800,1995-96,1881600.0
Country 33,Arabica/Robusta,590880000,1995-96,20832000.0
Country 34,Robusta,86730000,1995-96,3360000.0
Country 35,Robusta,9203040,1995-96,0.0
Country 36,Arabica,471850680,1995-96,10819200.0
Country 37,Robusta/Arabica,2093460000,1995-96,56246400.0
Country 38,Arabica,18688020,1995-96,1008000.0
Country 39,Arabica,95190000,1995-96,3360000.0
Country 40,Robusta,157980000,1995-96,0.0
Country 41,Robusta,8640000,1995-96,336000.0
Country 42,Arabica/Robusta,3189660000,1995-96,79228800.0
Country 43,Arabica,0,1995-96,0.0
Country 44,Arabica,299700300,1995-96,7492800.0
Country 45,Robusta,70740000,1995-96,2688000.0
Country 46,Arabica,122916960,1995-96,5152022.4
Country 47,Robusta,10080000,1995-96,537600.0
Country 48,Robusta/Arabica,58300020,1995-96,1344000.0
Country 49,Robusta/Arabica,1248600000,1995-96,28022400.0
Country 50,Robusta,2167620,1995-96,67200.0
Country 51,Robusta,21090000,1995-96,940800.0
Country 52,Robusta/Arabica,284816400,1995-96,5376000.0
Country 53,Arabica,2386067999,1995-96,64677312.0
Country 54,Robusta/Arabica,1920928320,1995-96,18939984.0
Country 55,Arabica,121620000,1995-96,0.0
Country 1,Robusta/Arabica,46500000,1996-97,1344000.0
Country 2,Arabica,75180000,1996-97,2116800.0
Country 3,Arabica/Robusta,27824700000,1996-97,739200000.0
Country 4,Arabica/Robusta,3412020,1996-97,134400.0
Country 5,Arabica/Robusta,381540000,1996-97,20160000.0
Country 6,Robusta/Arabica,4920480000,1996-97,99859200.0
Country 7,Robusta,588705960,1996-97,11222400.0
Country 8,Arabica,2340000,1996-97,134400.0
Country 9,Arabica/Robusta,3608400,1996-97,134400.0
Country 10,Arabica,35100000,1996-97,1344000.0
Country 11,Arabica,402000000,1996-97,13440000.0
Country 12,Arabica,2139960,1996-97,67200.0
Country 13,Arabica,294000,1996-97,0.0
Country 14,Arabica,8595960,1996-97,268800.0
Country 15,Robusta,5360040,1996-97,201600.0
Country 16,Arabica,384006000,1996-97,12700800.0
Country 17,Arabica/Robusta,642823380,1996-97,21840000.0
Country 18,Arabica,600600000,1996-97,22176000.0
Country 19,Robusta/Arabica,2807280000,1996-97,55843200.0
Country 20,Arabica/Robusta,76425060,1996-97,1115520.0
Country 21,Arabica,991920,1996-97,67200.0
Country 22,Robusta/Arabica,143450940,1996-97,6720000.0
Country 23,Robusta,24794400,1996-97,672000.0
Country 24,Arabica,2536776384,1996-97,90249600.0
Country 25,Arabica,665335200,1996-97,25200000.0
Country 26,Robusta,410260140,1996-97,3360000.0
Country 27,Robusta/Arabica,359880000,1996-97,13440000.0
Country 28,Arabica,417242040,1996-97,15456000.0
Country 29,Robusta,0,1996-97,0.0
Country 30,Arabica,4536540000,1996-97,110006400.0
Country 31,Robusta,1123140,1996-97,55977.6
Country 32,Robusta,9970800,1996-97,201600.0
Country 33,Arabica/Robusta,590880000,1996-97,20160000.0
Country 34,Robusta,86730000,1996-97,3360000.0
Country 35,Robusta,9203040,1996-97,0.0
Country 36,Arabica,471850680,1996-97,11284492.8
Country 37,Robusta/Arabica,2093460000,1996-97,56313600.0
Country 38,Arabica,18688020,1996-97,1209600.0
Country 39,Arabica,95190000,1996-97,3360000.0
Country 40,Robusta,157980000,1996-97,0.0
Country 41,Robusta,8640000,1996-97,336000.0
Country 42,Arabica/Robusta,3189660000,1996-97,82992000.0
Country 43,Arabica,0,1996-97,0.0
Country 44,Arabica,299700300,1996-97,6408864.0
Country 45,Robusta,70740000,1996-97,2688000.0
Country 46,Arabica,122916960,1996-97,5152022.4
Country 47,Robusta,10080000,1996-97,537600.0
Country 48,Robusta/Arabica,58300020,1996-97,1344000.0
Country 49,Robusta/Arabica,1248600000,1996-97,22377600.0
Country 50,Robusta,2167620,1996-97,67200.0
Country 51,Robusta,21090000,1996-97,940800.0
Country 52,Robusta/Arabica,284816400,1996-97,5376000.0
Country 53,Arabica,2386067999,1996-97,67413696.0
Country 54,Robusta/Arabica,1920928320,1996-97,19993075.2
Country 55,Arabica,121620000,1996-97,0.0
Country 1,Robusta/Arabica,46500000,1997-98,2688000.0
Country 2,Arabica,75180000,1997-98,2184000.0
Country 3,Arabica/Robusta,27824700000,1997-98,772800000.0
Country 4,Arabica/Robusta,3412020,1997-98,134400.0
Country 5,Arabica/Robusta,381540000,1997-98,20160000.0
Country 6,Robusta/Arabica,4920480000,1997-98,102950400.0
Country 7,Robusta,588705960,1997-98,11222400.0
Country 8,Arabica,2340000,1997-98,134400.0
Country 9,Arabica/Robusta,3608400,1997-98,134400.0
Country 10,Arabica,35100000,1997-98,1344000.0
Country 11,Arabica,402000000,1997-98,13440000.0
Country 12,Arabica,2139960,1997-98,201600.0
Country 13,Arabica,294000,1997-98,0.0
Country 14,Arabica,8595960,1997-98,268800.0
Country 15,Robusta,5360040,1997-98,201600.0
Country 16,Arabica,384006000,1997-98,13104000.0
Country 17,Arabica/Robusta,642823380,1997-98,21840000.0
Country 18,Arabica,600600000,1997-98,22176000.0
Country 19,Robusta/Arabica,2807280000,1997-98,57321600.0
Country 20,Arabica/Robusta,76425060,1997-98,1142400.0
Country 21,Arabica,991920,1997-98,40320.0
Country 22,Robusta/Arabica,143450940,1997-98,6720000.0
Country 23,Robusta,24794400,1997-98,672000.0
Country 24,Arabica,2536776384,1997-98,89241600.0
Country 25,Arabica,665335200,1997-98,25200000.0
Country 26,Robusta,410260140,1997-98,3360000.0
Country 27,Robusta/Arabica,359880000,1997-98,13440000.0
Country 28,Arabica,417242040,1997-98,12880022.4
Country 29,Robusta,0,1997-98,0.0
Country 30,Arabica,4536540000,1997-98,115852800.0
Country 31,Robusta,1123140,1997-98,53760.0
Country 32,Robusta,9970800,1997-98,201600.0
Country 33,Arabica/Robusta,590880000,1997-98,20160000.0
Country 34,Robusta,86730000,1997-98,3360000.0
Country 35,Robusta,9203040,1997-98,0.0
Country 36,Arabica,471850680,1997-98,10819200.0
Country 37,Robusta/Arabica,2093460000,1997-98,56380800.0
Country 38,Arabica,18688020,1997-98,1344000.0
Country 39,Arabica,95190000,1997-98,3360000.0
Country 40,Robusta,157980000,1997-98,0.0
Country 41,Robusta,8640000,1997-98,336000.0
Country 42,Arabica/Robusta,3189660000,1997-98,80707200.0
Country 43,Arabica,0,1997-98,0.0
Country 44,Arabica,299700300,1997-98,8265600.0
Country 45,Robusta,70740000,1997-98,2688000.0
Country 46,Arabica,122916960,1997-98,5417328.0
Country 47,Robusta,10080000,1997-98,336000.0
Country 48,Robusta/Arabica,58300020,1997-98,1344000.0
Country 49,Robusta/Arabica,1248600000,1997-98,26208000.0
Country 50,Robusta,2167620,1997-98,67200.0
Country 51,Robusta,21090000,1997-98,940800.0
Country 52,Robusta/Arabica,284816400,1997-98,6799968.0
Country 53,Arabica,2386067999,1997-98,70264990.88
Country 54,Robusta/Arabica,1920928320,1997-98,21104697.6
Country 55,Arabica,121620000,1997-98,0.0
Country 1,Robusta/Arabica,46500000,1998-99,2016000.0
Country 2,Arabica,75180000,1998-99,2217600.0
Country 3,Arabica/Robusta,27824700000,1998-99,819840000.0
Country 4,Arabica/Robusta,3412020,1998-99,134400.0
Country 5,Arabica/Robusta,381540000,1998-99,20160000.0
Country 6,Robusta/Arabica,4920480000,1998-99,106041600.0
Country 7,Robusta,588705960,1998-99,11222400.0
Country 8,Arabica,2340000,1998-99,134400.0
Country 9,Arabica/Robusta,3608400,1998-99,67200.0
Country 10,Arabica,35100000,1998-99,1344000.0
Country 11,Arabica,402000000,1998-99,13440000.0
Country 12,Arabica,2139960,1998-99,201600.0
Country 13,Arabica,294000,1998-99,0.0
Country 14,Arabica,8595960,1998-99,268800.0
Country 15,Robusta,5360040,1998-99,201600.0
Country 16,Arabica,384006000,1998-99,13440000.0
Country 17,Arabica/Robusta,642823380,1998-99,21840000.0
Country 18,Arabica,600600000,1998-99,22176000.0
Country 19,Robusta/Arabica,2807280000,1998-99,54432000.0
Country 20,Arabica/Robusta,76425060,1998-99,1142400.0
Country 21,Arabica,991920,1998-99,40320.0
Country 22,Robusta/Arabica,143450940,1998-99,6720000.0
Country 23,Robusta,24794400,1998-99,1276800.0
Country 24,Arabica,2536776384,1998-99,88166400.0
Country 25,Arabica,665335200,1998-99,25200000.0
Country 26,Robusta,410260140,1998-99,3360000.0
Country 27,Robusta/Arabica,359880000,1998-99,13440000.0
Country 28,Arabica,417242040,1998-99,12880022.4
Country 29,Robusta,0,1998-99,0.0
Country 30,Arabica,4536540000,1998-99,122035200.0
Country 31,Robusta,1123140,1998-99,53760.0
Country 32,Robusta,9970800,1998-99,67200.0
Country 33,Arabica/Robusta,590880000,1998-99,20160000.0
Country 34,Robusta,86730000,1998-99,3360000.0
Country 35,Robusta,9203040,1998-99,327062.4
Country 36,Arabica,471850680,1998-99,9273600.0
Country 37,Robusta/Arabica,2093460000,1998-99,60480000.0
Country 38,Arabica,18688020,1998-99,994560.0
Country 39,Arabica,95190000,1998-99,3360000.0
Country 40,Robusta,157980000,1998-99,0.0
Country 41,Robusta,8640000,1998-99,336000.0
Country 42,Arabica/Robusta,3189660000,1998-99,74457600.0
Country 43,Arabica,0,1998-99,0.0
Country 44,Arabica,299700300,1998-99,8500800.0
Country 45,Robusta,70740000,1998-99,2688000.0
Country 46,Arabica,122916960,1998-99,4502400.0
Country 47,Robusta,10080000,1998-99,336000.0
Country 48,Robusta/Arabica,58300020,1998-99,2016000.0
Country 49,Robusta/Arabica,1248600000,1998-99,29097600.0
Country 50,Robusta,2167620,1998-99,134400.0
Country 51,Robusta,21090000,1998-99,940800.0
Country 52,Robusta/Arabica,284816400,1998-99,7795200.0
Country 53,Arabica,2386067999,1998-99,73237248.0
Country 54,Robusta/Arabica,1920928320,1998-99,22278076.8
Country 55,Arabica,121620000,1998-99,0.0
Country 1,Robusta/Arabica,46500000,1999-00,1344000.0
Country 2,Arabica,75180000,1999-00,2284800.0
Country 3,Arabica/Robusta,27824700000,1999-00,853440000.0
Country 4,Arabica/Robusta,3412020,1999-00,134400.0
Country 5,Arabica/Robusta,381540000,1999-00,15456000.0
Country 6,Robusta/Arabica,4920480000,1999-00,109267200.0
Country 7,Robusta,588705960,1999-00,3763200.0
Country 8,Arabica,2340000,1999-00,67200.0
Country 9,Arabica/Robusta,3608400,1999-00,134400.0
Country 10,Arabica,35100000,1999-00,1344000.0
Country 11,Arabica,402000000,1999-00,13440000.0
Country 12,Arabica,2139960,1999-00,134400.0
Country 13,Arabica,294000,1999-00,0.0
Country 14,Arabica,8595960,1999-00,268800.0
Country 15,Robusta,5360040,1999-00,201600.0
Country 16,Arabica,384006000,1999-00,13440000.0
Country 17,Arabica/Robusta,642823380,1999-00,21840000.0
Country 18,Arabica,600600000,1999-00,22848000.0
Country 19,Robusta/Arabica,2807280000,1999-00,57926400.0
Country 20,Arabica/Robusta,76425060,1999-00,940800.0
Country 21,Arabica,991920,1999-00,40320.0
Country 22,Robusta/Arabica,143450940,1999-00,6720000.0
Country 23,Robusta,24794400,1999-00,1411200.0
Country 24,Arabica,2536776384,1999-00,87158400.0
Country 25,Arabica,665335200,1999-00,25200000.0
Country 26,Robusta,410260140,1999-00,3360000.0
Country 27,Robusta/Arabica,359880000,1999-00,13440000.0
Country 28,Arabica,417242040,1999-00,10301760.0
Country 29,Robusta,0,1999-00,0.0
Country 30,Arabica,4536540000,1999-00,128486400.0
Country 31,Robusta,1123140,1999-00,48048.0
Country 32,Robusta,9970800,1999-00,67200.0
Country 33,Arabica/Robusta,590880000,1999-00,20160000.0
Country 34,Robusta,86730000,1999-00,3360000.0
Country 35,Robusta,9203040,1999-00,292320.0
Country 36,Arabica,471850680,1999-00,11289600.0
